Model,Accuracy (%Completeness=2),Redundancy Precision (%RR=0),Hallucination Rate (%Red Severity ≥1),Average WER,Average Semantic Similarity
deepseekchat,69.16666666666667,0.0,97.5,2.187916873081389,0.7196066554014882
deepseekreasoner,49.166666666666664,0.8333333333333334,85.0,2.187916873081389,0.7196066554014882
gemini,100.0,0.0,100.0,2.187916873081389,0.7196066554014882
gpt40mini,38.333333333333336,2.5,95.0,2.187916873081389,0.7196066554014882
gpt41,62.5,1.6666666666666667,97.5,2.187916873081389,0.7196066554014882
